# NPC 데이터
# 포맷: data_id:id:name:type:dialog_id[:shop_id]
# type: V=Villager, S=ShopKeeper, Q=QuestGiver, H=Healer
# 좌표/맵 배치는 maps.dat 의 @NPC:x:y:npc_id 에서 관리

# 마을 NPC (40x20 맵)
3001:elder:마을 장로:Q:dialog_elder
3002:shopkeeper:무기상인:S:dialog_shop:weapon_shop
3003:healer:치료사:H:dialog_healer
3004:villager1:농부:V:dialog_villager

# 성 NPC (40x20 맵)
3005:guard:성문 경비병:Q:dialog_guard
# 확장 지역 NPC
3006:ranger:고원 순찰대:Q:dialog_ranger
3007:highland_merchant:원정 상인:S:dialog_highland_shop:highland_shop
3008:archaeologist:고고학자:Q:dialog_archaeologist
3009:swamp_guide:늪지 안내인:V:dialog_swamp_guide
3010:guide:마을 안내원:V:dialog_guide
